bed, la cama
brush, el cepillo
refrigerator, la nevera
freezer, el congelador
stove, la estufa
oven, el horno
pot, el caldero
cup, la taza
table, la mesa
chair, la silla
trash, la basura
mop, la limpiadora
washing machine, la lavadora
dryer, la secadora
mattress, el colchon
blanket, la cobija
cologne, el locion
comb, el peine
cup, la taza
door, la puerta
fork, el tenedor
house, la casa
knife, el cuchillo
lamp, la lampara
lawn, el cesped
mirror, el espejo
painting, la pintura
pen, el lapicero
photo, el foto
pillow, la almohada
plant, la planta
plate, el plato
shower, la ducha
sink, el lavamanos
soap, el jabon
spoon, la cuchara
wall, la pared
window, la ventana
television, el tele
toilet, el excusado
toilet paper, el papel de bano
tooth brush, el cepillo de dientes
towel, la toalla