germany, alemania
german, el aleman
spain, espana
spanish, espanol
mexican, el mexicano
france, francia
french, el frances
europe, europa
european, el europeo
portuguese, el portugues
government, el gobierno
world, el mundo
president, el presidente
prime minister, el primer ministro
minister, el ministro
officer, el oficial
police, la policia
judge, el juez
lawyer, el abogado
state, el estado
politician, el politico
political party, el partido politico
corrupt, el corrupto
english, el ingles
england, la inglaterra